Code name,Version numbers,Initial release date,API level,References
No codename,1.0,September 23 2008,1,[9]
1.1,February 9 2009,2,[9][11]
Cupcake,1.5,April 27 2009,3,
Donut,1.6,September 15 2009,4,[12]
Eclair,2.0 – 2.1,October 26 2009,5 – 7,[13]
Froyo,2.2 – 2.2.3,May 20 2010,8,[14]
Gingerbread,2.3 – 2.3.7,December 6 2010,9 – 10,[15]
Honeycomb,3.0 – 3.2.6,February 22 2011,11 – 13,[16]
Ice Cream Sandwich,4.0 – 4.0.4,October 18 2011,14 – 15,[17]
Jelly Bean,4.1 – 4.3.1,July 9 2012,16 – 18,[18]
KitKat,4.4 – 4.4.4,October 31 2013,19 – 20,[19]
Lollipop,5.0 – 5.1.1,November 12 2014,21 – 22,[20]
Marshmallow,6.0 – 6.0.1,October 5 2015,23,[21]
Nougat,7.0,August 22 2016,24,[22]
7.1.0 – 7.1.2,October 4 2016,25,[23][24][25]
Oreo,8.0,August 21 2017,26,[26]
8.1,December 5 2017,27,
Pie,9.0,August 6 2018,28,[27]
Android 10,10.0,September 3 2019,29,[28]
